City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,sinabang,2.4803,96.3801,84.97,76,65,11.12,ID,1683799714
114,nantucket,41.2835,-70.0995,53.74,93,0,12.66,US,1683799494
115,ma'an,26.9775,110.7211,61.34,83,98,2.33,CN,1683799715
116,invercargill,-46.4,168.35,47.01,95,100,3.0,NZ,1683799613
117,arroyito,-31.4202,-63.05,54.1,71,79,5.32,AR,1683799716
118,al kharijah,25.4514,30.5464,100.49,7,0,15.32,EG,1683799717
119,tanjung pandan,-2.75,107.65,83.88,79,67,2.39,ID,1683799485
120,tabou,4.423,-7.3528,85.66,72,73,7.18,CI,1683799717
121,carnarvon,-24.8667,113.6333,73.54,58,0,18.05,AU,1683799718
122,wanning,18.8003,110.3967,80.47,87,99,6.6,CN,1683799718
123,itambacuri,-18.0311,-41.685,70.43,89,96,1.57,BR,1683799504
124,nyandoma,61.669,40.1991,61.95,36,96,6.46,RU,1683799719
125,bijar,35.8668,47.6051,69.96,20,59,6.71,IR,1683799720
126,beichengqu,40.4394,113.1536,65.97,17,47,18.03,CN,1683799720
127,vilyuysk,63.7553,121.6247,35.15,51,100,5.73,RU,1683799720
128,ciudad lazaro cardenas,17.9583,-102.2,80.24,74,100,1.32,MX,1683799721
129,cabo san lucas,22.8909,-109.9124,75.51,33,89,13.51,MX,1683799682
130,afaahiti,-17.75,-149.2833,75.07,89,100,31.29,PF,1683799722
131,vorgashor,67.5833,63.95,23.61,82,96,3.09,RU,1683799722
132,uturoa,-16.7333,-151.4333,80.69,81,99,25.48,PF,1683799723
133,keflavik,64.0049,-22.5624,45.03,93,75,14.97,IS,1683799723
134,childress,34.4264,-100.204,64.65,88,100,11.5,US,1683799723
135,georgetown,5.4112,100.3354,93.13,62,20,6.91,MY,1683799724
136,chinsali,-10.5414,32.0816,73.33,54,100,5.48,ZM,1683799724
137,smithers,54.7804,-127.1743,47.17,91,100,1.83,CA,1683799725
138,hammerfest,70.6634,23.6821,45.05,100,75,4.61,NO,1683799725
139,motygino,58.1831,94.7592,52.99,33,100,6.96,RU,1683799725
140,klyuchi,52.2667,79.1667,82.45,24,76,23.69,RU,1683799726
141,vadso,70.0744,29.7487,50.88,76,75,4.61,NO,1683799726
142,codrington,-38.2667,141.9667,52.0,71,88,8.88,AU,1683799727
143,salalah,17.0151,54.0924,91.49,52,20,10.36,OM,1683799727
144,uige,-7.6087,15.0613,84.24,39,3,4.14,AO,1683799728
145,puerto ayora,-0.7393,-90.3518,76.55,100,72,5.99,EC,1683799728
146,badger,64.8,-147.5333,42.71,64,40,6.91,US,1683799729
147,fort bragg,35.139,-79.006,54.81,95,0,0.0,US,1683799729
148,cuatro cienegas de carranza,26.9833,-102.0833,75.49,38,2,6.35,MX,1683799730
149,peterhead,57.5058,-1.7981,54.45,94,100,8.52,GB,1683799730
150,callao,-12.0667,-77.15,69.71,88,100,6.91,PE,1683799731
151,san juan de uraba,8.7592,-76.5297,75.76,88,100,3.67,CO,1683799732
152,enewetak,11.3474,162.3373,81.52,85,99,14.58,MH,1683799732
153,bodaybo,57.8506,114.1933,37.89,87,100,2.51,RU,1683799733
154,staryy oskol,51.2967,37.8417,56.57,54,99,12.68,RU,1683799733
155,shunyi,40.125,116.6453,76.95,33,0,11.18,CN,1683799733
156,college,64.8569,-147.8028,42.78,62,75,6.91,US,1683799558
157,asadabad,34.7824,48.1185,74.16,21,74,6.31,IR,1683799734
158,mildura,-34.2,142.15,57.18,46,0,5.77,AU,1683799735
159,atafu village,-8.5421,-172.5159,84.33,76,6,16.71,TK,1683799735
160,altai,46.3722,96.2583,54.79,25,59,13.96,MN,1683799736
161,port elizabeth,-33.918,25.5701,72.1,77,20,21.85,ZA,1683799736
162,sitka,57.0531,-135.33,51.69,58,100,12.66,US,1683799621
163,borogontsy,62.6683,131.1683,33.6,61,99,8.12,RU,1683799737
164,san patricio,28.017,-97.5169,80.55,96,38,10.47,US,1683799737
165,hawaiian paradise park,19.5933,-154.9731,69.89,88,100,6.91,US,1683799738
166,magadan,59.5667,150.8,34.27,85,19,4.27,RU,1683799738
167,salinopolis,-0.6136,-47.3561,78.78,88,65,6.33,BR,1683799473
168,sokoni,-6.4333,39.55,81.82,72,12,13.02,TZ,1683799739
169,konarka,19.9,86.1167,99.0,59,63,16.35,IN,1683799739
170,crane,31.3974,-102.3501,70.7,25,19,9.95,US,1683799740
171,rudnyy,52.9594,63.1206,55.63,44,90,11.12,KZ,1683799740
172,poronaysk,49.2167,143.1167,38.89,79,99,4.36,RU,1683799471
173,dhidhdhoo,6.8833,73.1,84.15,76,89,9.35,MV,1683799741
174,qamdo,31.1667,97.2333,33.4,65,94,9.78,CN,1683799741
175,al kharj,24.155,47.3346,103.87,8,100,10.78,SA,1683799742
176,chui,-33.6971,-53.4616,53.17,71,100,7.81,UY,1683799744
177,crucecita,-28.95,-58.9833,51.67,91,24,5.14,AR,1683799744
178,sinop,41.7711,34.8709,47.93,92,100,5.41,TR,1683799745
179,gornji vakuf,43.9381,17.5883,53.67,94,100,4.34,BA,1683799746
180,udayagiri,20.1333,84.3833,98.1,21,98,3.87,IN,1683799746
181,yuzhno-kurilsk,44.0306,145.8556,36.48,84,31,10.27,RU,1683799747
182,padang,-0.9492,100.3543,86.05,84,61,2.98,ID,1683799747
183,kone,-21.0595,164.8658,71.91,77,100,5.7,NC,1683799748
184,kouango,4.9934,19.9619,96.06,34,18,4.81,CF,1683799748
185,okha,53.5739,142.9478,30.54,93,43,4.43,RU,1683799749
186,villa yapacani,-17.4,-63.8333,65.05,85,100,2.68,BO,1683799750
187,fort st. john,56.2499,-120.8529,47.97,66,50,2.42,CA,1683799632
